	acronymId.type	acronymId.value	starttime.datatype	starttime.type	starttime.value	company.type	company.value	companyLabel.xml:lang	companyLabel.type	companyLabel.value	acronym.xml:lang	acronym.type	acronym.value	endtime.datatype	endtime.type	endtime.value
0	uri	http://www.wikidata.org/entity/statement/Q114794-A2EDA7F2-8B4E-4563-95BB-9A520A5DF33D	http://www.w3.org/2001/XMLSchema#dateTime	literal	2021-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q114794	en	literal	Radiotelevisione svizzera di lingua italiana	de	literal	rti			
1	uri	http://www.wikidata.org/entity/statement/Q3919666-2068f6c3-47aa-fd9e-ee17-55ffd36426f2	http://www.w3.org/2001/XMLSchema#dateTime	literal	2002-10-07T00:00:00Z	uri	http://www.wikidata.org/entity/Q3919666	en	literal	BSB Bank	en	literal	UBS Bank JSC	http://www.w3.org/2001/XMLSchema#dateTime	literal	2003-12-23T00:00:00Z
2	uri	http://www.wikidata.org/entity/statement/Q3919666-22d838ac-48e5-4850-c4d3-2e112a678eb4	http://www.w3.org/2001/XMLSchema#dateTime	literal	2002-10-07T00:00:00Z	uri	http://www.wikidata.org/entity/Q3919666	en	literal	BSB Bank	be	literal	ЗАТ УБС Банк	http://www.w3.org/2001/XMLSchema#dateTime	literal	2003-12-23T00:00:00Z
3	uri	http://www.wikidata.org/entity/statement/Q3919666-ea5021de-44c4-5a2a-7940-d1b4c1f45bd1	http://www.w3.org/2001/XMLSchema#dateTime	literal	2002-10-07T00:00:00Z	uri	http://www.wikidata.org/entity/Q3919666	en	literal	BSB Bank	ru	literal	ЗАО УБС Банк	http://www.w3.org/2001/XMLSchema#dateTime	literal	2003-12-23T00:00:00Z
4	uri	http://www.wikidata.org/entity/statement/Q22340617-59b51993-4a19-f8a1-0a8b-501051056abe	http://www.w3.org/2001/XMLSchema#dateTime	literal	1986-12-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q22340617		literal	Q22340617	ja	literal	JR通信	http://www.w3.org/2001/XMLSchema#dateTime	literal	1989-05-01T00:00:00Z
5	uri	http://www.wikidata.org/entity/statement/Q22340617-59b51993-4a19-f8a1-0a8b-501051056abe	http://www.w3.org/2001/XMLSchema#dateTime	literal	1986-12-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q22340617		literal	Q22340617	ja	literal	JR通信	http://www.w3.org/2001/XMLSchema#dateTime	literal	1989-05-01T00:00:00Z
6	uri	http://www.wikidata.org/entity/statement/Q2793376-6e0580e5-4d04-2fb0-8e45-090872860c74	http://www.w3.org/2001/XMLSchema#dateTime	literal	2016-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q2793376	en	literal	Iptor Supply Chain Systems	en	literal	Iptor			
7	uri	http://www.wikidata.org/entity/statement/Q4122977-fad3b8b0-4754-47af-dcf8-dc9e9a7344cd	http://www.w3.org/2001/XMLSchema#dateTime	literal	1961-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q4122977		literal	Q4122977	ru	literal	ВЗТДиН			
8	uri	http://www.wikidata.org/entity/statement/Q4122977-fad3b8b0-4754-47af-dcf8-dc9e9a7344cd	http://www.w3.org/2001/XMLSchema#dateTime	literal	1961-01-01T00:00:00Z	uri	http://www.wikidata.org/entity/Q4122977		literal	Q4122977	ru	literal	ВЗТДиН			
9	uri	http://www.wikidata.org/entity/statement/Q7541907-388aec8e-4d7f-0423-3f9e-27931f72b084	http://www.w3.org/2001/XMLSchema#dateTime	literal	1995-07-04T00:00:00Z	uri	http://www.wikidata.org/entity/Q7541907	en	literal	Slovenská sporiteľňa	sk	literal	SLSP, a.s.	http://www.w3.org/2001/XMLSchema#dateTime	literal	2014-11-04T00:00:00Z
