	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
0	http://www.wikidata.org/entity/Q316013	http://www.wikidata.org/entity/Q8093	en	Nintendo	en	Satoru Iwata	2002-05-24T00:00:00Z
1	http://www.wikidata.org/entity/Q316013	http://www.wikidata.org/entity/Q8093	en	Nintendo	en	Satoru Iwata	2002-05-24T00:00:00Z
2	http://www.wikidata.org/entity/Q84587	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Edzard Reuter	1987-07-01T00:00:00Z
3	http://www.wikidata.org/entity/Q84587	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Edzard Reuter	1987-07-01T00:00:00Z
4	http://www.wikidata.org/entity/Q65445	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Dieter Zetsche	2006-01-01T00:00:00Z
5	http://www.wikidata.org/entity/Q65445	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Dieter Zetsche	2006-01-01T00:00:00Z
6	http://www.wikidata.org/entity/Q86582	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Jürgen E. Schrempp	1995-05-01T00:00:00Z
7	http://www.wikidata.org/entity/Q86582	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Jürgen E. Schrempp	1995-05-01T00:00:00Z
8	http://www.wikidata.org/entity/Q113969	http://www.wikidata.org/entity/Q81230	en	Siemens	en	Peter Löscher	2007-07-01T00:00:00Z
9	http://www.wikidata.org/entity/Q96770	http://www.wikidata.org/entity/Q81230	en	Siemens	en	Heinrich von Pierer	2005-01-01T00:00:00Z
10	http://www.wikidata.org/entity/Q96770	http://www.wikidata.org/entity/Q81230	en	Siemens	en	Heinrich von Pierer	1992-01-01T00:00:00Z
11	http://www.wikidata.org/entity/Q65464	http://www.wikidata.org/entity/Q81230	en	Siemens	en	Klaus Kleinfeld	2005-01-01T00:00:00Z
12	http://www.wikidata.org/entity/Q110406	http://www.wikidata.org/entity/Q81230	en	Siemens	en	Karlheinz Kaske	1981-01-28T00:00:00Z
13	http://www.wikidata.org/entity/Q22989	http://www.wikidata.org/entity/Q169339	en	Glencore	en	Ivan Glasenberg	2002-01-01T00:00:00Z
14	http://www.wikidata.org/entity/Q22989	http://www.wikidata.org/entity/Q169339	en	Glencore	en	Ivan Glasenberg	2002-01-01T00:00:00Z
15	http://www.wikidata.org/entity/Q88193	http://www.wikidata.org/entity/Q212646	en	Hoffmann-La Roche	en	Severin Schwan	2008-01-01T00:00:00Z
16	http://www.wikidata.org/entity/Q60934	http://www.wikidata.org/entity/Q284672	en	Bilfinger SE	en	Roland Koch	2011-07-01T00:00:00Z
17	http://www.wikidata.org/entity/Q60934	http://www.wikidata.org/entity/Q284672	en	Bilfinger SE	en	Roland Koch	2011-07-01T00:00:00Z
18	http://www.wikidata.org/entity/Q105014	http://www.wikidata.org/entity/Q1301938	en	Schörghuber Unternehmensgruppe	en	Stefan Schörghuber	1995-01-01T00:00:00Z
19	http://www.wikidata.org/entity/Q92955	http://www.wikidata.org/entity/Q3073996	en	Xamarin	en	Nat Friedman	2011-05-01T00:00:00Z
20	http://www.wikidata.org/entity/Q55174	http://www.wikidata.org/entity/Q19923099	en	Hewlett Packard Enterprise	en	Meg Whitman	2011-09-22T00:00:00Z
21	http://www.wikidata.org/entity/Q55174	http://www.wikidata.org/entity/Q19923099	en	Hewlett Packard Enterprise	en	Meg Whitman	2011-09-22T00:00:00Z
22	http://www.wikidata.org/entity/Q5284	http://www.wikidata.org/entity/Q2283	en	Microsoft	en	Bill Gates	1975-04-01T00:00:00Z
23	http://www.wikidata.org/entity/Q92434	http://www.wikidata.org/entity/Q9325	en	Lufthansa	en	Christoph Franz	2011-01-01T00:00:00Z
24	http://www.wikidata.org/entity/Q46000	http://www.wikidata.org/entity/Q37156	en	IBM	en	Thomas Watson	1956-01-01T00:00:00Z
25	http://www.wikidata.org/entity/Q46000	http://www.wikidata.org/entity/Q37156	en	IBM	en	Thomas Watson	1956-01-01T00:00:00Z
26	http://www.wikidata.org/entity/Q49971	http://www.wikidata.org/entity/Q37156	en	IBM	en	Ginni Rometty	2012-01-01T00:00:00Z
27	http://www.wikidata.org/entity/Q49971	http://www.wikidata.org/entity/Q37156	en	IBM	en	Ginni Rometty	2012-01-01T00:00:00Z
28	http://www.wikidata.org/entity/Q55174	http://www.wikidata.org/entity/Q80978	en	Hewlett-Packard	en	Meg Whitman	2011-09-22T00:00:00Z
29	http://www.wikidata.org/entity/Q108902	http://www.wikidata.org/entity/Q234021	en	Robert Bosch	en	Franz Fehrenbach	2003-01-01T00:00:00Z
30	http://www.wikidata.org/entity/Q117407	http://www.wikidata.org/entity/Q694107	en	The Swatch Group	en	Nick Hayek	2003-01-01T00:00:00Z
31	http://www.wikidata.org/entity/Q4934	http://www.wikidata.org/entity/Q20800404	en	Alphabet Inc.	en	Larry Page	2015-08-10T00:00:00Z
32	http://www.wikidata.org/entity/Q55183	http://www.wikidata.org/entity/Q112247183	en	YouTube	en	Susan Wojcicki	2014-02-01T00:00:00Z
33	http://www.wikidata.org/entity/Q98027	http://www.wikidata.org/entity/Q27074	en	Aston Martin Lagonda	en	Ulrich Bez	2000-07-01T00:00:00Z
34	http://www.wikidata.org/entity/Q264913	http://www.wikidata.org/entity/Q334800	en	PepsiCo	en	Indra Nooyi	2006-01-01T00:00:00Z
35	http://www.wikidata.org/entity/Q268874	http://www.wikidata.org/entity/Q604924	en	SRI International	en	Karl August Folkers	1963-01-01T00:00:00Z
36	http://www.wikidata.org/entity/Q52994	http://www.wikidata.org/entity/Q99541306	en	Dreamhaven	en	Michael Morhaime	2020-09-23T00:00:00Z
37	http://www.wikidata.org/entity/Q265852	http://www.wikidata.org/entity/Q312	en	Apple	en	Tim Cook	2011-08-24T00:00:00Z
38	http://www.wikidata.org/entity/Q265852	http://www.wikidata.org/entity/Q312	en	Apple	en	Tim Cook	2011-08-24T00:00:00Z
39	http://www.wikidata.org/entity/Q64088	http://www.wikidata.org/entity/Q312	en	Apple	en	Michael Spindler	1993-01-01T00:00:00Z
40	http://www.wikidata.org/entity/Q64088	http://www.wikidata.org/entity/Q312	en	Apple	en	Michael Spindler	1993-01-01T00:00:00Z
41	http://www.wikidata.org/entity/Q19837	http://www.wikidata.org/entity/Q312	en	Apple	en	Steve Jobs	1997-09-01T00:00:00Z
42	http://www.wikidata.org/entity/Q19837	http://www.wikidata.org/entity/Q312	en	Apple	en	Steve Jobs	1997-09-01T00:00:00Z
43	http://www.wikidata.org/entity/Q87129	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Toni Schmücker	1975-01-01T00:00:00Z
44	http://www.wikidata.org/entity/Q68355	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Martin Winterkorn	2007-01-01T00:00:00Z
45	http://www.wikidata.org/entity/Q78713	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Ferdinand Piëch	1993-01-01T00:00:00Z
46	http://www.wikidata.org/entity/Q98000	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Kurt Lotz	1968-01-01T00:00:00Z
47	http://www.wikidata.org/entity/Q76245	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Rudolf Leiding	1971-01-01T00:00:00Z
48	http://www.wikidata.org/entity/Q68648	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Bernd Pischetsrieder	2002-01-01T00:00:00Z
49	http://www.wikidata.org/entity/Q97087	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Carl Hahn	1982-01-01T00:00:00Z
50	http://www.wikidata.org/entity/Q68625	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Heinrich Nordhoff	1948-01-01T00:00:00Z
51	http://www.wikidata.org/entity/Q75681	http://www.wikidata.org/entity/Q157645	en	Deutsche Post AG	en	Frank Appel	2008-02-18T00:00:00Z
52	http://www.wikidata.org/entity/Q305177	http://www.wikidata.org/entity/Q182477	en	Nvidia	en	Jensen Huang	1993-01-01T00:00:00Z
53	http://www.wikidata.org/entity/Q305177	http://www.wikidata.org/entity/Q182477	en	Nvidia	en	Jensen Huang	1993-01-01T00:00:00Z
54	http://www.wikidata.org/entity/Q47213	http://www.wikidata.org/entity/Q217583	en	Berkshire Hathaway	en	Warren Buffett	1970-01-01T00:00:00Z
55	http://www.wikidata.org/entity/Q47213	http://www.wikidata.org/entity/Q217583	en	Berkshire Hathaway	en	Warren Buffett	1970-01-01T00:00:00Z
56	http://www.wikidata.org/entity/Q265126	http://www.wikidata.org/entity/Q458944	en	Magyar Telekom	en	Christopher Mattheisen	2006-01-01T00:00:00Z
57	http://www.wikidata.org/entity/Q313915	http://www.wikidata.org/entity/Q514140	en	Rosatom	en	Sergey Kiriyenko	2007-01-01T00:00:00Z
58	http://www.wikidata.org/entity/Q313915	http://www.wikidata.org/entity/Q514140	en	Rosatom	en	Sergey Kiriyenko	2007-01-01T00:00:00Z
