	company.value	companyLabel.xml:lang	companyLabel.value	numEmployees.value	point.value
0	http://www.wikidata.org/entity/Q2283	en	Microsoft	140768	2018-06-30T00:00:00Z
1	http://www.wikidata.org/entity/Q2283	en	Microsoft	114000	2016-06-30T00:00:00Z
2	http://www.wikidata.org/entity/Q2283	en	Microsoft	181000	2021-06-30T00:00:00Z
3	http://www.wikidata.org/entity/Q2283	en	Microsoft	221000	2022-01-01T00:00:00Z
4	http://www.wikidata.org/entity/Q2283	en	Microsoft	144000	2019-06-30T00:00:00Z
5	http://www.wikidata.org/entity/Q2283	en	Microsoft	163000	2020-06-30T00:00:00Z
6	http://www.wikidata.org/entity/Q2283	en	Microsoft	131300	2018-01-01T00:00:00Z
7	http://www.wikidata.org/entity/Q2283	en	Microsoft	118000	2015-06-30T00:00:00Z
8	http://www.wikidata.org/entity/Q2283	en	Microsoft	120849	2016-12-31T00:00:00Z
9	http://www.wikidata.org/entity/Q2283	en	Microsoft	124000	2017-06-30T00:00:00Z
10	http://www.wikidata.org/entity/Q66	en	Boeing	153000	2018-12-31T00:00:00Z
11	http://www.wikidata.org/entity/Q66	en	Boeing	165500	2014-12-31T00:00:00Z
12	http://www.wikidata.org/entity/Q66	en	Boeing	150500	2016-12-31T00:00:00Z
13	http://www.wikidata.org/entity/Q66	en	Boeing	161400	2015-12-31T00:00:00Z
14	http://www.wikidata.org/entity/Q66	en	Boeing	140800	2017-12-31T00:00:00Z
15	http://www.wikidata.org/entity/Q66	en	Boeing	158750	2016-05-01T00:00:00Z
16	http://www.wikidata.org/entity/Q1418	en	Nokia	103083	2018-01-01T00:00:00Z
17	http://www.wikidata.org/entity/Q1418	en	Nokia	102687	2016-01-01T00:00:00Z
18	http://www.wikidata.org/entity/Q1418	en	Nokia	58900	2013-01-01T00:00:00Z
19	http://www.wikidata.org/entity/Q312	en	Apple	154000	2021-01-01T00:00:00Z
20	http://www.wikidata.org/entity/Q312	en	Apple	123000	2017-09-30T00:00:00Z
21	http://www.wikidata.org/entity/Q312	en	Apple	115000	2015-07-01T00:00:00Z
22	http://www.wikidata.org/entity/Q312	en	Apple	116000	2016-09-30T00:00:00Z
23	http://www.wikidata.org/entity/Q312	en	Apple	147000	2020-09-26T00:00:00Z
24	http://www.wikidata.org/entity/Q312	en	Apple	164000	2022-01-01T00:00:00Z
25	http://www.wikidata.org/entity/Q312	en	Apple	132000	2018-01-01T00:00:00Z
26	http://www.wikidata.org/entity/Q3895	en	Adidas AG	60617	2016-12-31T00:00:00Z
27	http://www.wikidata.org/entity/Q2311	en	Airbus Group	133671	2018-12-31T00:00:00Z
28	http://www.wikidata.org/entity/Q2311	en	Airbus Group	126495	2021-12-31T00:00:00Z
29	http://www.wikidata.org/entity/Q2311	en	Airbus Group	127120	2022-03-31T00:00:00Z
30	http://www.wikidata.org/entity/Q2311	en	Airbus Group	133782	2016-12-31T00:00:00Z
31	http://www.wikidata.org/entity/Q2311	en	Airbus Group	129442	2017-12-31T00:00:00Z
32	http://www.wikidata.org/entity/Q2311	en	Airbus Group	134931	2019-12-31T00:00:00Z
33	http://www.wikidata.org/entity/Q2311	en	Airbus Group	133000	2013-01-01T00:00:00Z
34	http://www.wikidata.org/entity/Q1343	en	TogliattiAzot	5000	2014-01-01T00:00:00Z
35	http://www.wikidata.org/entity/Q2309	en	AvtoVAZ	32500	2022-01-01T00:00:00Z
36	http://www.wikidata.org/entity/Q248	en	Intel	107300	2014-01-01T00:00:00Z
37	http://www.wikidata.org/entity/Q248	en	Intel	121100	2021-01-01T00:00:00Z
38	http://www.wikidata.org/entity/Q248	en	Intel	110800	2019-01-01T00:00:00Z
39	http://www.wikidata.org/entity/Q248	en	Intel	110600	2020-01-01T00:00:00Z
40	http://www.wikidata.org/entity/Q248	en	Intel	106000	2016-12-31T00:00:00Z
41	http://www.wikidata.org/entity/Q3884	en	Amazon	566000	2017-01-01T00:00:00Z
42	http://www.wikidata.org/entity/Q3884	en	Amazon	230800	2015-12-01T00:00:00Z
43	http://www.wikidata.org/entity/Q3884	en	Amazon	1608000	2021-12-31T00:00:00Z
44	http://www.wikidata.org/entity/Q3884	en	Amazon	1298000	2020-01-01T00:00:00Z
45	http://www.wikidata.org/entity/Q3884	en	Amazon	154100	2014-01-01T00:00:00Z
46	http://www.wikidata.org/entity/Q3884	en	Amazon	675500	2018-12-31T00:00:00Z
