	company.value	companyLabel.xml:lang	companyLabel.value	name.xml:lang	name.value	starttime.value	endtime.value
0	http://www.wikidata.org/entity/Q131728	en	Total Nonstop Action Wrestling	en	Impact Ventures LLC	2015-01-01T00:00:00Z	2016-01-01T00:00:00Z
1	http://www.wikidata.org/entity/Q131728	en	Total Nonstop Action Wrestling	en	TNA Entertainment LLC	2002-01-01T00:00:00Z	2016-01-01T00:00:00Z
2	http://www.wikidata.org/entity/Q131728	en	Total Nonstop Action Wrestling	en	J Sports & Entertainment, LLC	2002-01-01T00:00:00Z	2002-01-01T00:00:00Z
3	http://www.wikidata.org/entity/Q333040	en	Sony Music Publishing	en	Sony Music Publishing (US), LLC	2021-01-01T00:00:00Z	
4	http://www.wikidata.org/entity/Q63327	en	Airbnb	en	AirBed & Breakfast	2007-10-01T00:00:00Z	2009-03-01T00:00:00Z
5	http://www.wikidata.org/entity/Q63327	en	Airbnb	en	Airbnb	2009-03-01T00:00:00Z	
6	http://www.wikidata.org/entity/Q122141	en	Vodafone	en	Vodafone Group Plc	2000-01-01T00:00:00Z	
7	http://www.wikidata.org/entity/Q147505	en	Zappos	en	Zappos.com LLC	2009-11-10T00:00:00Z	
8	http://www.wikidata.org/entity/Q1418	en	Nokia	fi	Nokia Osakeyhtiö - Nokia Aktiebolag	1944-08-04T00:00:00Z	1966-06-10T00:00:00Z
9	http://www.wikidata.org/entity/Q1418	en	Nokia	sv	Nokia Abp	1997-09-01T00:00:00Z	
10	http://www.wikidata.org/entity/Q1418	en	Nokia	sv	Nokia Aktiebolag	1896-12-19T00:00:00Z	1944-08-04T00:00:00Z
11	http://www.wikidata.org/entity/Q1418	en	Nokia	fi	Oy Nokia Ab	1966-06-10T00:00:00Z	1997-08-31T00:00:00Z
12	http://www.wikidata.org/entity/Q1418	en	Nokia	en	Nokia Corporation	1997-09-01T00:00:00Z	
13	http://www.wikidata.org/entity/Q1418	en	Nokia	fi	Nokia Oyj	1997-09-01T00:00:00Z	
14	http://www.wikidata.org/entity/Q41461	en	ABB Oy	fi	Oy Strömberg Ab	http://www.wikidata.org/.well-known/genid/1792627532f8c61417032e4ce0b1ca33	1983-01-01T00:00:00Z
15	http://www.wikidata.org/entity/Q41461	en	ABB Oy	fi	ABB Strömberg Oy	http://www.wikidata.org/.well-known/genid/d781b425377e757569541299a3f0adc1	
16	http://www.wikidata.org/entity/Q41461	en	ABB Oy	fi	Gottfr. Strömbergin sähköliike	1889-01-01T00:00:00Z	1909-01-01T00:00:00Z
17	http://www.wikidata.org/entity/Q41461	en	ABB Oy	fi	Ab Gottfr. Strömberg Oy	1909-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/83e5daf169b42ca829644bf6ad2e3591
18	http://www.wikidata.org/entity/Q41461	en	ABB Oy	fi	Kymi-Strömberg Oy	1983-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/3932a1eb56f3ccebf8c8dfcbf061e4d2
19	http://www.wikidata.org/entity/Q80788	en	DNB Bank	nb	DNB Bank ASA	2011-11-11T00:00:00Z	
20	http://www.wikidata.org/entity/Q80788	en	DNB Bank	nb	DnB NOR Bank ASA	2004-01-19T00:00:00Z	2011-11-10T00:00:00Z
21	http://www.wikidata.org/entity/Q317402	en	Berliner Kindl	de	Vereinsbrauerei Berliner Gastwirte zu Berlin AG	1872-01-01T00:00:00Z	1910-01-01T00:00:00Z
22	http://www.wikidata.org/entity/Q2311	en	Airbus Group	en	Airbus Group NV	2013-12-26T00:00:00Z	2015-05-27T00:00:00Z
23	http://www.wikidata.org/entity/Q2311	en	Airbus Group	en	Airbus Group SE	2015-05-27T00:00:00Z	2017-04-12T00:00:00Z
24	http://www.wikidata.org/entity/Q2311	en	Airbus Group	en	Airbus SE	2017-04-12T00:00:00Z	
25	http://www.wikidata.org/entity/Q2311	en	Airbus Group	en	European Aeronautic Defence and Space Company NV	2000-07-10T00:00:00Z	2013-12-26T00:00:00Z
26	http://www.wikidata.org/entity/Q7414	en	The Walt Disney Company	en	Walt Disney Productions	1929-12-16T00:00:00Z	1986-02-06T00:00:00Z
27	http://www.wikidata.org/entity/Q7414	en	The Walt Disney Company	en	Disney Brothers Cartoon Studio	1923-10-16T00:00:00Z	1926-01-01T00:00:00Z
28	http://www.wikidata.org/entity/Q7414	en	The Walt Disney Company	en	The Walt Disney Company	1986-02-06T00:00:00Z	
29	http://www.wikidata.org/entity/Q7414	en	The Walt Disney Company	en	Walt Disney Studio	1926-01-01T00:00:00Z	1929-12-16T00:00:00Z
30	http://www.wikidata.org/entity/Q27143	en	Avia	cs	AVIA Motors s.r.o.	2020-01-01T00:00:00Z	
31	http://www.wikidata.org/entity/Q29637	en	Škoda Auto	cs	Automobilový koncern ŠKODA a.s.	1990-01-01T00:00:00Z	1991-01-01T00:00:00Z
32	http://www.wikidata.org/entity/Q29637	en	Škoda Auto	cs	ŠKODA AUTO a.s.	1998-01-01T00:00:00Z	2023-01-01T00:00:00Z
33	http://www.wikidata.org/entity/Q29637	en	Škoda Auto	cs	ŠKODA, automobilová a.s.	1991-01-01T00:00:00Z	1998-01-01T00:00:00Z
34	http://www.wikidata.org/entity/Q45568	en	UniCredit	it	UniCredito Italiano S.p.A.	1998-01-01T00:00:00Z	2003-01-01T00:00:00Z
35	http://www.wikidata.org/entity/Q45568	en	UniCredit	it	UniCredit S.p.A.	2003-01-01T00:00:00Z	
36	http://www.wikidata.org/entity/Q59186	en	Walter Aircraft Engines	cs	WALTER ENGINES a.s.	2004-11-19T00:00:00Z	2008-09-30T00:00:00Z
37	http://www.wikidata.org/entity/Q126827	en	arsEdition	de	Kunstanstalten Josef Müller	1896-01-01T00:00:00Z	1918-01-01T00:00:00Z
38	http://www.wikidata.org/entity/Q62320	en	Veljekset Keskinen	fi	Veljekset Keskinen osakeyhtiö	1976-04-02T00:00:00Z	1982-11-10T00:00:00Z
39	http://www.wikidata.org/entity/Q62320	en	Veljekset Keskinen	fi	Veljekset Keskinen Oy	1982-11-11T00:00:00Z	
40	http://www.wikidata.org/entity/Q95	en	Google	en	Google LLC	2017-01-01T00:00:00Z	
41	http://www.wikidata.org/entity/Q95	en	Google	en	Google Inc.	http://www.wikidata.org/.well-known/genid/c7d24f0cf58fe14aef0e56fcccd80dd9	2017-09-01T00:00:00Z
42	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FC TRINITY Zlín, a. s.	2022-06-24T00:00:00Z	2023-07-10T00:00:00Z
43	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FC FASTAV Zlín, a.s.	2012-07-12T00:00:00Z	2022-06-24T00:00:00Z
44	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FC TESCOMA Zlín, a.s.	2002-07-24T00:00:00Z	2012-07-12T00:00:00Z
45	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FK SVIT Zlín, a.s.	1999-07-01T00:00:00Z	2001-01-19T00:00:00Z
46	http://www.wikidata.org/entity/Q39183	en	FC Zlín	cs	FK Zlín, a.s.	2001-01-19T00:00:00Z	2002-07-24T00:00:00Z
47	http://www.wikidata.org/entity/Q58024	en	eBay	en	AuctionWeb	1995-09-01T00:00:00Z	1997-09-01T00:00:00Z
48	http://www.wikidata.org/entity/Q58024	en	eBay	en	eBay Inc.	1997-09-01T00:00:00Z	
