	subsidiaryId.value	company.value	industry.value	starttime.value	industry2.value	companyLabel.xml:lang	companyLabel.value	subsidiaryIdLabel.xml:lang	subsidiaryIdLabel.value	industryLabel.xml:lang	industryLabel.value	industry2Label.xml:lang	industry2Label.value
0	http://www.wikidata.org/entity/Q23317	http://www.wikidata.org/entity/Q156578	http://www.wikidata.org/entity/Q190117	1966-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Volkswagen Group	en	Audi AG	en	automotive industry	en	automotive industry
1	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	http://www.wikidata.org/entity/Q190117	1955-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Bianchi Bicycles	en	Autobianchi	en	automotive industry	en	automotive industry
2	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	http://www.wikidata.org/entity/Q190117	1955-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Bianchi Bicycles	en	Autobianchi	en	automotive industry	en	automotive industry
3	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	http://www.wikidata.org/entity/Q17018236	1955-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Bianchi Bicycles	en	Autobianchi	en	bicycle industry	en	automotive industry
4	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	http://www.wikidata.org/entity/Q17018236	1955-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Bianchi Bicycles	en	Autobianchi	en	bicycle industry	en	automotive industry
5	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q190117	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	automotive industry	en	automotive industry
6	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q190117	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	automotive industry	en	automotive industry
7	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q392933	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	arms industry	en	automotive industry
8	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q392933	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	arms industry	en	automotive industry
9	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q1875606	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	aircraft industry	en	automotive industry
10	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q1875606	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	aircraft industry	en	automotive industry
11	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q3565868	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	rail transport	en	automotive industry
12	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q3565868	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	rail transport	en	automotive industry
13	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q16955053	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	defense industry	en	automotive industry
14	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	http://www.wikidata.org/entity/Q16955053	2016-01-01T00:00:00Z	http://www.wikidata.org/entity/Q190117	en	Czechoslovak Group	en	Avia	en	defense industry	en	automotive industry
15	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	television	en	mass media
16	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	television	en	mass media
17	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	telecommunication	en	mass media
18	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	telecommunication	en	mass media
19	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	publishing	en	mass media
20	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	publishing	en	mass media
21	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL		Q25245117	en	mass media
22	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL		Q25245117	en	mass media
23	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611639	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	media industry	en	mass media
24	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611639	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	media industry	en	mass media
25	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611700	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	Internet industry	en	mass media
26	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611700	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q11033	en	WarnerMedia	en	AOL	en	Internet industry	en	mass media
27	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	television	en	software industry
28	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	television	en	software industry
29	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	telecommunication	en	software industry
30	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	telecommunication	en	software industry
31	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	publishing	en	software industry
32	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	publishing	en	software industry
33	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL		Q25245117	en	software industry
34	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL		Q25245117	en	software industry
35	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611639	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	media industry	en	software industry
36	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611639	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	media industry	en	software industry
37	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611700	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	Internet industry	en	software industry
38	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611700	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q880371	en	WarnerMedia	en	AOL	en	Internet industry	en	software industry
39	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	television	en	tech industry
40	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q289	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	television	en	tech industry
41	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	telecommunication	en	tech industry
42	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q418	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	telecommunication	en	tech industry
43	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	publishing	en	tech industry
44	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q3972943	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	publishing	en	tech industry
45	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL		Q25245117	en	tech industry
46	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q25245117	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL		Q25245117	en	tech industry
47	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	http://www.wikidata.org/entity/Q56611639	2001-01-11T00:00:00Z	http://www.wikidata.org/entity/Q21157865	en	WarnerMedia	en	AOL	en	media industry	en	tech industry
