	subsidiaryname.value	company.value	companyLabel.xml:lang	companyLabel.value	subsidiarynameLabel.xml:lang	subsidiarynameLabel.value	starttime.value
0	http://www.wikidata.org/entity/Q3587	http://www.wikidata.org/entity/Q614283	en	Grupo Globo	en	TV Globo	1965-04-26T00:00:00Z
1	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	en	Bianchi Bicycles	en	Autobianchi	1955-01-01T00:00:00Z
2	http://www.wikidata.org/entity/Q27110	http://www.wikidata.org/entity/Q855432	en	Bianchi Bicycles	en	Autobianchi	1955-01-01T00:00:00Z
3	http://www.wikidata.org/entity/Q13974	http://www.wikidata.org/entity/Q218038	en	RCA Corporation	en	NBC	1926-01-01T00:00:00Z
4	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	en	Czechoslovak Group	en	Avia	2016-01-01T00:00:00Z
5	http://www.wikidata.org/entity/Q27143	http://www.wikidata.org/entity/Q24708162	en	Czechoslovak Group	en	Avia	2016-01-01T00:00:00Z
6	http://www.wikidata.org/entity/Q23317	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Audi AG	1966-01-01T00:00:00Z
7	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	en	WarnerMedia	en	AOL	2001-01-11T00:00:00Z
8	http://www.wikidata.org/entity/Q27585	http://www.wikidata.org/entity/Q191715	en	WarnerMedia	en	AOL	2001-01-11T00:00:00Z
9	http://www.wikidata.org/entity/Q13974	http://www.wikidata.org/entity/Q54173	en	General Electric	en	NBC	1986-01-01T00:00:00Z
10	http://www.wikidata.org/entity/Q13974	http://www.wikidata.org/entity/Q54173	en	General Electric	en	NBC	1986-01-01T00:00:00Z
11	http://www.wikidata.org/entity/Q181114	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Stellantis North America	1998-01-01T00:00:00Z
12	http://www.wikidata.org/entity/Q181114	http://www.wikidata.org/entity/Q27530	en	Mercedes-Benz Group	en	Stellantis North America	1998-01-01T00:00:00Z
13	http://www.wikidata.org/entity/Q172030	http://www.wikidata.org/entity/Q173146	en	McLaren Technology Group	en	McLaren	1963-01-01T00:00:00Z
14	http://www.wikidata.org/entity/Q189557	http://www.wikidata.org/entity/Q2283	en	Microsoft	en	ZeniMax Media	2020-09-21T00:00:00Z
15	http://www.wikidata.org/entity/Q29637	http://www.wikidata.org/entity/Q156578	en	Volkswagen Group	en	Škoda Auto	1991-01-01T00:00:00Z
16	http://www.wikidata.org/entity/Q178765	http://www.wikidata.org/entity/Q188920	en	Delta Air Lines	en	Atlantic Southeast Airlines	1999-01-01T00:00:00Z
17	http://www.wikidata.org/entity/Q32396	http://www.wikidata.org/entity/Q295280	en	AMR Corporation	en	American Airlines	1982-10-01T00:00:00Z
18	http://www.wikidata.org/entity/Q32396	http://www.wikidata.org/entity/Q295280	en	AMR Corporation	en	American Airlines	1982-10-01T00:00:00Z
19	http://www.wikidata.org/entity/Q170127	http://www.wikidata.org/entity/Q879018	en	Simba Dickie Group	en	Märklin	2013-01-01T00:00:00Z
20	http://www.wikidata.org/entity/Q174035	http://www.wikidata.org/entity/Q1516562	en	Liberty Media	en	Formula One Group	2017-01-01T00:00:00Z
21	http://www.wikidata.org/entity/Q336717	http://www.wikidata.org/entity/Q304944	en	České dráhy	en	ČD Cargo	2015-12-31T00:00:00Z
22	http://www.wikidata.org/entity/Q336717	http://www.wikidata.org/entity/Q304944	en	České dráhy	en	ČD Cargo	2015-12-31T00:00:00Z
23	http://www.wikidata.org/entity/Q341975	http://www.wikidata.org/entity/Q4745184	en	American Stores	en	Acme Markets	1917-01-01T00:00:00Z
24	http://www.wikidata.org/entity/Q378215	http://www.wikidata.org/entity/Q322601	en	Seiko	en	Seiko Instruments	2009-10-01T00:00:00Z
25	http://www.wikidata.org/entity/Q341975	http://www.wikidata.org/entity/Q2831861	en	Albertsons	en	Acme Markets	1999-01-01T00:00:00Z
26	http://www.wikidata.org/entity/Q341975	http://www.wikidata.org/entity/Q2831861	en	Albertsons	en	Acme Markets	1999-01-01T00:00:00Z
27	http://www.wikidata.org/entity/Q79202	http://www.wikidata.org/entity/Q191715	en	WarnerMedia	en	New Line Cinema	1996-01-01T00:00:00Z
28	http://www.wikidata.org/entity/Q79202	http://www.wikidata.org/entity/Q191715	en	WarnerMedia	en	New Line Cinema	1996-01-01T00:00:00Z
29	http://www.wikidata.org/entity/Q79202	http://www.wikidata.org/entity/Q7855903	en	Turner Broadcasting System	en	New Line Cinema	1994-01-01T00:00:00Z
30	http://www.wikidata.org/entity/Q79202	http://www.wikidata.org/entity/Q7855903	en	Turner Broadcasting System	en	New Line Cinema	1994-01-01T00:00:00Z
31	http://www.wikidata.org/entity/Q206272	http://www.wikidata.org/entity/Q950380	en	CBS Corporation	en	UPN	2006-01-01T00:00:00Z
32	http://www.wikidata.org/entity/Q206272	http://www.wikidata.org/entity/Q950380	en	CBS Corporation	en	UPN	2006-01-01T00:00:00Z
33	http://www.wikidata.org/entity/Q43380	http://www.wikidata.org/entity/Q950380	en	CBS Corporation	en	CBS	2005-01-01T00:00:00Z
34	http://www.wikidata.org/entity/Q43380	http://www.wikidata.org/entity/Q950380	en	CBS Corporation	en	CBS	2005-01-01T00:00:00Z
35	http://www.wikidata.org/entity/Q246125	http://www.wikidata.org/entity/Q2283	en	Microsoft	en	Skype Technologies	2011-10-13T00:00:00Z
36	http://www.wikidata.org/entity/Q48505	http://www.wikidata.org/entity/Q1418	en	Nokia	en	Luxor AB	1984-01-01T00:00:00Z
37	http://www.wikidata.org/entity/Q45464	http://www.wikidata.org/entity/Q24708162	en	Czechoslovak Group	en	Tatra	2017-01-01T00:00:00Z
38	http://www.wikidata.org/entity/Q45464	http://www.wikidata.org/entity/Q24708162	en	Czechoslovak Group	en	Tatra	2017-01-01T00:00:00Z
39	http://www.wikidata.org/entity/Q43380	http://www.wikidata.org/entity/Q3088127	en	Viacom	en	CBS	2000-01-01T00:00:00Z
